Reference Handle,Token,Item Name,Variation Name,Unit and Precision,SKU,Description,Category,GTIN,Square Online Item Visibility,Item Type,Shipping Enabled,Self-serve Ordering Enabled,Delivery Enabled,Pickup Enabled,Price,Archived,Skip Detail Screen in POS,Default Unit Cost,Current Quantity MacGillivray LLC,Stock Alert Enabled MacGillivray LLC,Stock Alert Count MacGillivray LLC,Modifier Set - Woven Basket,Tax - Sales Tax (6.25%)
#conservas-santos-mackerel-pate-regular,SLOQLZ3NS6UG5CDDUAJEBBLO,Conservas Santos Mackerel Pate,Regular,NA,5604739001205,NA,Tinned Fish,NA,visible,Prepared food and beverage,NA,NA,Y,Y,6.00,N,N,3.99,0,NA,NA,N,N
#conservas-santos-tuna-pate-regular,WKWYEUKLAHSSHSPMQPVYOM5U,Conservas Santos Tuna Pate,Regular,NA,5604739001212,NA,Tinned Fish,NA,visible,Prepared food and beverage,NA,NA,Y,Y,6.00,N,N,3.99,0,NA,NA,N,N
#contrada-salandra-falanghina-2018-regular,3LTYPLR3HIYKEGUHHVUEYCDI,Contrada Salandra Falanghina 2018,Regular,NA,csf2018,"Bin 249
The steepest vineyards of Giuseppe Fortunato over Campi Flegrei give his Falanghina a graceful tension and definition, while longer ageing brings more weight and balance. If the 2017 appears too lean and a bit simplistic, possibly from an early harvest, the 2018 has a more complete profile: white melon, grapefruit and honey richness. It’s vibrant on the palate, with a full weight and tingling freshness due to a low pH, typical of this variety. Drink: 2021-2023. (Sep 2020)""",Wine,NA,unavailable,Physical good,N,N,N,N,22.00,N,N,16.66,21,NA,NA,N,N
#cookies-and-cream-sugarfina-regular,3T6U2V4IKK4ZZ5ALBGUZDTHG,Cookies and Cream Sugarfina,Regular,NA,840278161412,NA,FOOD,NA,hidden,Prepared food and beverage,NA,NA,Y,Y,9.00,N,NA,5.42,0,NA,NA,N,N
#coppo-gavi-regular,44WBHNMIFOJKJG6S3FHTXJVG,Coppo Gavi,Regular,NA,NA,Bin 269,Wine,851362003068,visible,Physical good,N,N,N,N,19.00,N,N,12,16,NA,NA,N,N
#coppo-l-avvocata-barbers-d-asti-regular,3DP74ZUXFAN4ISI44BO5ZF4Z,Coppo L'Avvocata Barbers D'Asti,Regular,NA,851362003075,Bin 232,Wine,NA,NA,Prepared food and beverage,N,N,N,N,19.00,N,N,9.66,37,NA,NA,N,N
#cork-screw-regular,YVJIVRFDJETJLFMLNTQVUS5S,Cork Screw,Regular,NA,L159820,NA,Misc.,NA,visible,Prepared food and beverage,NA,NA,NA,Y,5.00,N,N,2.95,-4,NA,NA,N,Y
#cornichons-gherkins-regular,ONZUZFP3IIGUKU7JYH74ZBGE,Cornichons Gherkins,Regular,NA,850023671073,NA,FOOD,850023671073,visible,Physical good,NA,NA,NA,NA,7.00,N,NA,3.5,4,NA,NA,N,N
#costa-esmeraldas-chocolate-bar-regular,OYOJX4WBMLXD5WN3OO4A5LHF,Costa Esmeraldas Chocolate Bar,Regular,NA,851536005454,NA,FOOD,NA,visible,Prepared food and beverage,NA,NA,Y,Y,9.00,N,NA,6,1,NA,NA,N,N
#cotton-blanket-regular,UQCVOWRSVCKISHIXN7ZQGREO,Cotton Blanket,Regular,NA,200030480524,NA,Misc.,NA,visible,Prepared food and beverage,N,N,N,N,35.00,N,N,NA,-7,NA,NA,N,Y
#cownty-tales-reserve-wedge-regular,L5HG7TZLRYBMGW77PFWLVDUA,Cownty Tales Reserve Wedge,Regular,NA,NA,NA,FOOD,NA,visible,Prepared food and beverage,NA,NA,NA,NA,8.00,N,NA,5.6,0,NA,NA,N,N
#cranberry-apple-cider-vinegar-regular,7AUKJXFDFZOE7M2XD64TANL6,Cranberry Apple Cider Vinegar,Regular,NA,850009723093,NA,FOOD,NA,hidden,Prepared food and beverage,NA,NA,NA,Y,12.00,N,N,7.9,0,Y,4,N,N
#cravero-parmigiano-reggiano-regular,PAVBMB4VCHJADN7CGWAY6XNZ,Cravero Parmigiano Reggiano,Regular,NA,860003980231,NA,FOOD,NA,NA,Prepared food and beverage,NA,NA,NA,NA,23.00,N,NA,15,-1,NA,NA,N,Y
#creative-co-op-4-l-x-2-w-handmade-paper-gift-tag-with-gold-block-print-and-jute-tie-green-and-white-boxed-set-of-12-office-decor-x-x-0-h-regular,4LRMF2KPRB7HMLBATKOUCMKA,"Creative Co-Op 4"" L x 2"" W Handmade Paper Gift Tag with Gold Block Print and Jute Tie, Green and White, Boxed Set of 12 Office Decor, x x 0"" H",Regular,NA,NA,NA,Holiday,191009484806,visible,Prepared food and beverage,NA,NA,NA,NA,10.00,N,NA,5,-1,NA,NA,N,Y
#creative-co-op-whimsical-pattern-decorator-paper-59-l-x-0-w-x-98-h-regular,342BJW2IES7B5UQKMXE36W5U,"Creative Co-Op Whimsical Pattern Decorator Paper, 59 "" L x 0 "" W x 98 "" H",Regular,NA,30191009479490,NA,Merchandise (non-food),191009479499,visible,Prepared food and beverage,NA,NA,NA,NA,80.00,N,NA,40,1,NA,NA,N,Y
#creative-co-op-floral-multicolor-wall-decorator-paper-regular,HYJIPOG2HJ4KUYBJRK7GERBK,"Creative Co-op Floral, Multicolor Wall Decorator Paper",Regular,NA,00191009523789,NA,Merchandise (non-food),191009523789,visible,Prepared food and beverage,NA,NA,NA,NA,50.00,N,NA,25,2,NA,NA,N,Y
#crema-decisa-di-olive-e-capperi-tapenade-90g-default,4YVQIPQTIVESKSFNAD7QQZH5,Crema DECISA di olive e capperi (tapenade) 90g,default,NA,8051513032011,"Questa crema nasce da un’accurata selezione di olive nere e verdi, capperi ed acciughe. È una ricetta tipica della Provenza, conosciuta come tapenade e ribattezzata da noi “decisa” per il suo sapore pieno di carattere, ma allo stesso tempo delicato e gustoso. Conservare in luogo asciutto non esporre ai raggi di sole. Dopo l’apertura conservare in frigo e  consumare entro una settimana.
This DECISA patè comes from a careful selection of black and green olives, capers and anchovies. It is a typical recipe of Provence, known as tapenade and renamed by us ""DECISA"" for its flavor full of character, but at the same time delicate and tasty.
Store in a cool and dry place, keep away from direct sunlight. After opening, keep refrigerated and use within a week.",FOOD,NA,hidden,Prepared food and beverage,NA,NA,NA,Y,10.00,N,N,5.5,0,Y,6,N,N
#creta-roble-tempranillo--regular,PSYLRW4TCE34INJ7G6ZZ5DTV,Creta Roble (Tempranillo),Regular,NA,NA,"Bin 82
Creta Roble is a red wine produced in the Ribera del Duero region of northern Spain. It is made primarily from the Tempranillo grape variety, which is known for producing bold and full-bodied red wines.
The wine has a deep ruby color with aromas of dark fruits, such as black cherry and blackberry, as well as hints of vanilla and spice. On the palate, it is full-bodied with a rich and velvety texture, featuring flavors of black fruit, chocolate, and a touch of oak. The tannins are firm and well-structured, providing a long and elegant finish.
Creta Roble is aged for six months in oak barrels, which adds complexity and depth to the wine. It has a balanced acidity and a smooth finish, making it a great wine to pair with a variety of dishes, including grilled meats, hearty stews, and aged cheeses.
Overall, Creta Roble is a premium wine that showcases the best qualities of the Tempranillo grape variety and the Ribera del Duero terroir. It is a great choice for wine enthusiasts who enjoy bold and complex red",Wine,8437012917422,visible,Prepared food and beverage,N,N,N,Y,19.00,N,N,14,26,Y,5,N,N
#cricket-creek-berkshire-bloom-regular,43FSMZADV7IXM66YDM3347AC,Cricket Creek Berkshire Bloom,Regular,NA,NA,NA,FOOD,NA,visible,Prepared food and beverage,NA,NA,NA,NA,13.00,N,NA,11.85,0,NA,NA,N,N
#cucumber-shrub-regular,F2JV6ZYB54LRQM6SXJV2TV4Y,Cucumber Shrub,Regular,NA,825272730789,NA,Alcohol-Free,825272730789,visible,Prepared food and beverage,NA,NA,NA,NA,16.00,N,N,12,0,NA,NA,N,N
#curious-elixer-no-6-4-pack-regular,X4X3Q4FO4H2Q35Y2MOO7QLPK,Curious Elixer No 6 - 4 Pack,Regular,NA,#6\4pk,NA,Alcohol-Free,NA,unavailable,Physical good,NA,NA,NA,NA,29.00,N,NA,21.5,0,NA,NA,N,N
#curious-elixer-no-9-rosy-ros--regular,EJNWR5J7GJTADQ4HSORFCJHK,Curious Elixer No 9 Rosy Rosé,Regular,NA,860010854303,NA,Alcohol-Free,NA,visible,Prepared food and beverage,NA,NA,NA,NA,32.00,N,NA,21.5,0,NA,NA,N,N
#curious-elixers-no-4-sici-ian-blood-orange-spritz-regular,5P7I7IPFD4YUTTO7C5ETSHAY,Curious Elixers No 4 Sici!ian Blood Orange Spritz,Regular,NA,860010854341,NA,Alcohol-Free,NA,visible,Prepared food and beverage,NA,NA,NA,NA,32.00,N,NA,21.5,-1,NA,NA,N,N
#curious-elixir-no-1-pomegranate-negroni-regular,TBYJ7LCM5L3447TTET5JN2KQ,Curious Elixir No 1 Pomegranate Negroni,Regular,NA,NA,NA,Alcohol-Free,860010854310,visible,Physical good,NA,NA,NA,NA,32.00,N,NA,21.5,2,NA,NA,N,N
#curious-elixir-no-2-regular,4MABEOFTRS7VPFIYNQSZMBVE,Curious Elixir No 2,Regular,NA,cntwo,NA,Alcohol-Free,860010854327,visible,Physical good,NA,NA,NA,NA,32.00,N,NA,21.5,-3,NA,NA,N,N
#curious-elixir-no-3-cucumber-collins-regular,2DQLGAWAHIIRN5NVFU7BAMKJ,Curious Elixir No 3 Cucumber Collins,Regular,NA,NA,NA,Alcohol-Free,860010854334,visible,Physical good,NA,NA,NA,NA,32.00,N,NA,21.5,2,NA,NA,N,N
#curious-elixir-no-4-mini-can-regular,3IWZESG642UGMS5Y2J7QO2UP,Curious Elixir No 4 Mini Can,Regular,NA,860007499944,NA,Alcohol-Free,860007499944,visible,Physical good,NA,NA,NA,NA,23.00,N,NA,15.3,2,NA,NA,N,N
#curious-elixir-no-5-smoked-cherry-chocolate-old-fashion-regular,EMP5ASRQHNDSD7NZLCFFFARI,Curious Elixir No 5 Smoked Cherry Chocolate Old Fashion,Regular,NA,860010854358,NA,Alcohol-Free,NA,unavailable,Physical good,NA,NA,NA,NA,34.00,N,NA,24.5,2,NA,NA,N,N
#curious-elixir-no-6-single-can-regular,CEJRW6VMRL57QVZDWWTD2NJF,Curious Elixir No 6 Single can,Regular,NA,860325002260,NA,Alcohol-Free,NA,visible,Physical good,NA,NA,NA,NA,8.00,N,NA,5.38,9,NA,NA,N,N
#curious-elixir-no-7-fancy-floral-champagne-cocktail-regular,X544GACNKB562YWD2CRH4BLF,Curious Elixir No 7 Fancy Floral Champagne Cocktail,Regular,NA,NA,NA,Alcohol-Free,860010854372,visible,Physical good,NA,NA,NA,NA,32.00,N,NA,21.5,0,NA,NA,N,N
#curious-elixir-no-1-mini-can-pomegranate-negroni-regular,EF2E2SZ75SBN65YHRQ7WJN5H,Curious Elixir No. 1 Mini Can Pomegranate Negroni,Regular,NA,860007499937,NA,Alcohol-Free,860007499937,NA,Physical good,NA,NA,NA,NA,24.00,N,NA,16.5,0,NA,NA,Y,N
#cushnoc-electric-blanket-regular,VWDQYX3QZ43VLMNHWS5K3OTZ,Cushnoc Electric Blanket,Regular,NA,669818822732,NA,Beer,NA,NA,Physical good,NA,NA,NA,NA,20.00,N,NA,13.16,0,NA,NA,N,N
#cutting-board-regular,LYQLWF5YGN7DJMZEFFY2STJP,Cutting Board,Regular,NA,MCB,NA,Cutting boards,NA,unavailable,Physical good,N,N,N,N,75.00,N,N,37.5,2,NA,NA,N,Y
#czechs-out-pilsner-regular,TTQ6PG4LA64HUK46WCFTAZ2D,Czechs Out Pilsner,Regular,NA,NA,NA,Beer,722208314870,visible,Prepared food and beverage,NA,NA,NA,NA,15.00,N,NA,10,0,NA,NA,N,N
#d-arbo-honey-1-oz-regular,ULF6HRLLVREIMCYT2UM76APP,D'arbo Honey 1 oz,Regular,NA,darbo,"D'arbo Blütenhonig honey. Blend of honeys from Argentina, Romania, Hungary, Serbia, and Mexico.",Dips and Spreads,NA,unavailable,Physical good,N,N,N,N,2.00,N,N,2,26,NA,NA,N,N
#dg-mackerel-fillets-in-olive-oil-4-2oz-tin-regular,BWYSKU6O773A6REZEIGOJ33U,DG Mackerel Fillets in Olive Oil 4.2oz Tin,Regular,NA,810032722074,NA,Tinned Fish,810032722074,visible,Prepared food and beverage,NA,NA,NA,NA,7.00,N,NA,3.7,0,NA,NA,N,N
#dg-octopus-marinara-sauce-4-2oz-tin-regular,JCMLXSYX5VUFFCZNF7I4KHAL,DG Octopus Marinara Sauce 4.2oz Tin,Regular,NA,810032722098,NA,FOOD,810032722098,visible,Physical good,NA,NA,NA,NA,15.00,N,NA,7.39,0,NA,NA,N,N
#dg-small-sardines-in-olive-oil-regular,3SQ4QNR4X6M5GTAJSZ4KJWPK,DG Small Sardines in Olive Oil,Regular,NA,810032722081,NA,FOOD,810032722081,visible,Physical good,NA,NA,NA,NA,10.00,N,NA,4.69,5,NA,NA,N,N
#do-ferreiro-albari-o--regular,VXHSWXHJYYRF7AGQ4RN62PC3,DO Ferreiro (Albariño),Regular,NA,S190023,"BIN 197 DO Ferreiro Albariño is a refreshing and vibrant white wine from the Rías Baixas region of Spain. Made from the Albariño grape, it's known for its crisp acidity and bright citrus flavors.
The wine is produced by Gerardo Méndez, a renowned winemaker who is committed to crafting wines that showcase the unique character of the region. The grapes are grown in the estate's vineyards, which are situated on the steep slopes of the Salnés Valley.
DO Ferreiro Albariño has a pale golden color and an enticing aroma of tropical fruits, such as pineapple and mango, along with a hint of citrus and floral notes. On the palate, the wine is lively and refreshing, with a zesty acidity that is balanced by a subtle creaminess. The flavors are a mix of citrus and stone fruits, with a touch of minerality that gives it a distinct character.
This wine is perfect for pairing with seafood dishes, such as grilled shrimp or roasted halibut, as well as lighter fare like salads and appetizers. It's also a great wine to enjoy on its own, e",Wine,664841006005,visible,Prepared food and beverage,N,N,N,Y,34.00,N,N,20,6,Y,5,N,N
#duvel-moortgat-belgian-ale-4pk-regular,XXJ3LGOVKDDTL5HH3AFV7X24,DUVEL Moortgat Belgian Ale 4pk,Regular,NA,NA,NA,Beer,083706014151,hidden,Prepared food and beverage,NA,NA,NA,Y,20.00,N,NA,13.5,0,N,0,N,N
#dampierre-grande-cuvee-2021-regular,EQEH2XQBPG45L7JFVVONXOKP,Dampierre Grande Cuvee 2021,Regular,NA,864454Z,"Dampierre Grande Cuvee is a luxurious and complex champagne produced by the renowned Champagne House of Dampierre. This champagne is a blend of 70% Chardonnay grapes and 30% Pinot Noir and Pinot Meunier grapes, carefully selected from the best vineyards in the Champagne region of France.
The Dampierre Grande Cuvee has a bright and golden color with fine and persistent bubbles. It has a delicate and complex aroma of white flowers, citrus, and brioche, with a hint of honey and almonds. On the palate, it is rich and creamy, with flavors of ripe fruits, vanilla, and toast, balanced by a refreshing acidity and a mineral note. The finish is long and elegant, with a subtle sweetness and a pleasant aftertaste.
The Dampierre Grande Cuvee is made using traditional methods, including a second fermentation in the bottle, which gives the champagne its distinctive and refined character. It is aged for a minimum of five years in the cellars of the winery, which allows the flavors and aromas to develop and mature, resulting",Wine,858484005000,visible,Prepared food and beverage,N,N,N,Y,50.00,N,N,33.33,4,Y,12,N,N
#daou-cabernet-sauvignon--regular,ZVEUA3KBMVZ7AMOENQUQTF6N,Daou (Cabernet Sauvignon),Regular,NA,3666379,"Bin 11
Presents a deep ruby-purple color, foreshadowing intense aromas of cherry and blackberry jam complemented by dark chocolate, tobacco leaf, and desert sage. The nose reveals secondary nuances of wet gravel, sandalwood, and plum pudding, with subtle notes of fennel, black olive, and eucalyptus. On the palate, a swirl of black raspberry, pomegranate, cherry preserve and Zante currant melds seamlessly with crushed herbs, fig, and cranberry. An impeccably balanced finish flows effortlessly from the juicy mid palate, leaving lovely notes of boysenberry, rhubarb, graphite, and dried thyme. As a tireless champion of Cabernet in Paso Robles, Daniel works alongside his friends and neighbors to promote the region as the new frontier for Cabernet and Bordeaux varietals on the world stage.
Pair with red meat, including prime rib, New York strip, and filet mignon. Also try lamb or pepper encrusted ahi tuna. Excellent as an ingredient in sauces or reductions

Cabernet Sauvignon
Paso Robles, California",Wine,890409002398,visible,Prepared food and beverage,N,N,N,Y,26.00,N,N,20,3,Y,24,N,N
#dario-serrentino-rosso-terre-siciliane-cala-regular,OLQL5BXSW3YCNZJTZJSDFHXX,Dario Serrentino Rosso Terre Siciliane CALA,Regular,NA,806891475091,Bin 61,Wine,NA,visible,Prepared food and beverage,N,N,Y,Y,18.00,N,N,12,7,N,0,N,N
#dark-chocolate-sea-salt-caramels-sugarfina-regular,AWVP26FCRZRDYNDDPHS3GNJK,Dark Chocolate Sea Salt Caramels Sugarfina,Regular,NA,840278113459,NA,FOOD,NA,hidden,Prepared food and beverage,NA,NA,Y,Y,9.00,N,NA,6,0,NA,NA,N,N
#david-soy-wax-candle-regular,Q3VGNXSBU46GGZD4RID5CY5N,David Soy Wax Candle,Regular,NA,S141938,NA,Misc.,NA,visible,Prepared food and beverage,NA,NA,NA,Y,25.00,N,NA,NA,1,NA,NA,N,Y
#de-la-boue-regular,YYOXCR53H6SJ6T5YLHUZDLBC,De La Boue,Regular,NA,boue,Bin 184,Wine,NA,visible,Prepared food and beverage,NA,NA,Y,Y,35.00,N,N,27,13,Y,5,N,N
#dear-readers-and-riders-by-lettie-teague-paperback--regular,DLZAI4BQBPABWZGAVY2RLPOV,Dear Readers and Riders - by Lettie Teague (Paperback),Regular,NA,NA,NA,Books,9781646011940,visible,Prepared food and beverage,NA,NA,NA,NA,27.95,N,NA,NA,-25,NA,NA,N,Y
#defio-canned-wine-per-can--regular,X5QNBEBMCW4ZSWY2ZQAGXKIB,Defio canned Wine (per can),Regular,NA,NA,"Defio canned wine - the ultimate adventure in a can! Made with the finest grapes handpicked by the skilled winemaker, Maria Rodriguez, this canned wine is a true masterpiece.
Maria is a true visionary in the world of winemaking. With years of experience and a passion for creating wines that capture the essence of the vineyards they come from, she has crafted a wine that is both delicious and easy to enjoy.
As you pop open a can of Defio canned wine, you'll be greeted with a burst of flavors that will awaken your senses. The crisp and refreshing taste of apples, pears, and citrus fruits will tantalize your taste buds, while the delicate aromas of wildflowers and herbs will transport you to the vineyards where the grapes were grown.
Defio canned wine is the perfect companion for your outdoor adventures, picnics, or just a relaxing evening at home. With its convenient packaging, you can take it with you wherever you go, without having to worry about the fuss of carrying around a bottle.
So if you're looking for",Wine,NA,hidden,Prepared food and beverage,N,N,Y,Y,14.00,N,N,7.5,0,Y,12,N,N
#denny-bini-boccia-lambrusco--regular,APXAAPHHV5THGBAL6QHVQPUH,Denny Bini 'Boccia' (Lambrusco),Regular,NA,NA,"<p>Bin 10.1</p><p>Grapes are marani, salamino, maestri, grasparossa, and ancellotta. </p><p>After too many years of industrially-produced mediocrity, Emilia is now home to a small but growing cell of artisanal producers who are farming carefully and returning to the metodo ancestrale (also know as Pet-Nat) of their great-grandfathers. Denny Bini is one of the humble heroes of this renaissance-revolution. Over the years, he has slowly been changing his career from historic cellar master of well-known Lambrusco estate to someone with his own vineyards and cellar of mostly <em>metodo ancestrale</em> wines.</p><p><br></p><p>Denny makes two Lambrusco we currently bring in: Spuma is his bottle-fermented metodo ancestral made from the geeky high-acid Sorbara grape, and an everyday drinking sparkling red Lambrusco from Emilia, that’ become affectionally and unofficially known as the ‘Festa’ or ‘Party’ label, owing to the big ol’ table of various types of people enjoying a raucous meal, and to the fact that it’s delicious, a touch bitter, and goes down easy if you don’t overthink it (kinda like most family gatherings).</p><p><br></p><p>Denny’s a good person to visit to get a list of all the under the radar trattoria and agroturismi in the area, and an all around great guy. Look out for his bianco metodo ancestrale that’s he’s been planting vines of the last few years.</p>",Wine,8053629650011,unavailable,Physical good,N,N,N,N,18.00,N,N,12,1,NA,NA,N,N
#denny-bini-festa-sparkling-red-lambrusco--regular,CEWFG2T6MQPQGYTLOSFFP4YW,Denny Bini 'Festa' Sparkling Red (Lambrusco),Regular,NA,250723X,"Bin 10

Denny Bini's 'Festa' Sparkling Red is like a party in a bottle! This Lambrusco is the life of the party, with its bright and bubbly personality that will have you tapping your feet and clapping your hands in no time.
As soon as you pop the cork, you'll be greeted with a burst of fruity aromas that will transport you to a vibrant Italian piazza. The wine has a playful fizz that tickles your taste buds with flavors of cherry, raspberry, and a hint of spice.
This wine is perfect for celebrating any occasion, whether it's a birthday, a wedding, or just a Friday night with friends. It pairs well with a variety of festive foods, including pizza, barbecue, and charcuterie boards.

So, put on your dancing shoes, turn up the music, and let Denny Bini's 'Festa' Sparkling Red take you on a joyous journey that will make you feel like you're at the most epic party ever! Cheers!

Denny Bini 'Festa' Sparkling Red is a refreshing and lively sparkling wine made from the Lambrusco grape variety.",Wine,8053629650042,hidden,Prepared food and beverage,N,N,N,Y,18.00,N,N,12,27,Y,24,N,N
#dinamo-nucleo-x-orange-trebbiano--regular,5QXFFAGQYFFKXU6XV4OYYCQL,Dinamo Nucleo X Orange (Trebbiano),Regular,NA,886933R,"Bin 36
Get ready for a zesty explosion of flavor with Dinamo Nucleo X Orange, a unique and delicious wine from the renowned Italian winemaker Dinamo. Made from the Trebbiano grape variety, this wine is grown in the sun-kissed vineyards of the Abruzzo region, where the hot Mediterranean climate gives it a bold and vibrant personality.
Dinamo Nucleo X Orange is like a party in a bottle, with a bright and juicy flavor that will have your taste buds dancing. The aroma is bursting with fresh oranges, lemons, and grapefruits, with a hint of floral notes.
On the palate, it's like biting into a juicy citrus fruit with a crisp and refreshing acidity that makes it a perfect wine for a sunny day. The wine maker's innovative approach to winemaking has resulted in a unique wine that is truly a work of art.
So, whether you're sipping it poolside or enjoying it with friends at a backyard barbecue, Dinamo Nucleo X Orange is a wine that is sure to impress. It's the perfect choice for those who want to add a little zing to the",Wine,NA,visible,Prepared food and beverage,N,N,N,Y,26.00,N,N,18,1,Y,12,N,N
#dishtowel-large-regular,U3WAAS2PFGQU3A4T7WZY4XGW,Dishtowel - Large,Regular,NA,MKDL,NA,Merchandise (non-food),NA,unavailable,Physical good,NA,NA,NA,NA,55.00,N,NA,50,5,NA,NA,N,Y
#dishtowel-regular-regular,NVPNRM4YLPPCGKA3M3KR6EMO,Dishtowel - Regular,Regular,NA,MKDR,woven dishtowel,Merchandise (non-food),NA,visible,Physical good,NA,NA,NA,NA,40.00,N,NA,NA,2,NA,NA,N,Y
#divina-carmelized-onion-jam-regular,6AXB62AZHTMQIKGSLYZCZSSJ,Divina Carmelized Onion Jam,Regular,NA,631723203883,NA,FOOD,NA,hidden,Prepared food and beverage,N,NA,N,Y,6.00,N,N,3.24,0,Y,3,N,N
#divina-organic-pitted-kalamata-olives-regular,QQSBKKCY6OGRO2VLWNWQOA7J,Divina Organic Pitted Kalamata Olives,Regular,NA,NA,NA,FOOD,631723202916,visible,Prepared food and beverage,NA,NA,N,Y,7.00,N,N,4.53,22,NA,NA,N,N
#division-pinot-noir--regular,4GPH73ICJDSN4QAJWOCFW7VX,Division (Pinot Noir),Regular,NA,E945836,"Bin 104
Step right up and get ready for a showstopping performance by Division Pinot Noir, the star of the wine world! This gorgeous wine hails from Oregon's Willamette Valley, where the cool climate and volcanic soils create the perfect conditions for Pinot Noir grapes to thrive.
Division Pinot Noir is like a graceful ballerina, with a delicate and refined style that will have you mesmerized from the first sip. The aroma is a symphony of ripe cherries, raspberries, and earthy notes, with a hint of spice that will have you craving more.
On the palate, Division Pinot Noir is pure elegance, with silky tannins, bright acidity, and a long, luxurious finish. It's a wine that is both complex and approachable, making it a great choice for both novice wine drinkers and seasoned connoisseurs.
So, whether you're enjoying it with a romantic dinner for two or sharing it with friends at a dinner party, Division Pinot Noir is a wine that is sure to impress. It's a true performer, delivering a flawless and unforgettable exp",Wine,NA,visible,Prepared food and beverage,N,N,N,Y,32.00,N,N,22,2,Y,12,N,N
#dolcetto-d-alba-regular,NR57ACVLKEBDYSR7GFAG3SEA,Dolcetto d' Alba,Regular,NA,8023552210057,Bin 246,Wine,NA,unavailable,Prepared food and beverage,N,N,N,N,21.00,N,N,14,12,NA,NA,N,N
#domaine-benjamin-taillander-minervois-laguzelle-cinsault-syrah-carignan--regular,AGS35ROFNHURI6GPVFEF5OTC,Domaine Benjamin Taillander Minervois 'Laguzelle' (Cinsault/Syrah/Carignan),Regular,NA,LAGUZELLEA,"Bin 148

Domaine Benjamin Taillander Miervois Laguzelle is a red wine that's like a magic potion - one sip, and you'll feel like you've been transported to a world of enchantment and wonder. It's the kind of wine that makes you want to put on a wizard hat and cast spells (or at least attempt to). This wine is so full of flavor, it's like a medieval feast in your mouth - with notes of blackberry, cherry, and a hint of dragon's breath (just kidding, that's not a real note). Domaine Benjamin Taillander Miervois Laguzelle is the perfect accompaniment to a night of Dungeons & Dragons or binge-watching Game of Thrones. So, go ahead, pour yourself a glass (or a goblet, if you're feeling fancy), and let this wine take you on a journey through a mystical land of wine and wonder.",Wine,NA,visible,Prepared food and beverage,NA,NA,N,Y,20.00,N,N,13.33,3,N,5,N,N
#domaine-de-la-chevalerie-noms-d-oiseaux-cabernet-franc--regular,TTXS7MP7BBO35WXJLS4OEPDV,Domaine De La Chevalerie Noms D'Oiseaux (Cabernet Franc),Regular,NA,NA,"Ah, Domaine De La Chevalerie Noms D'Oiseaux (Cabernet Franc) wine - the feathered friend of the wine world!
This wine is like a flight of fancy for your taste buds, with notes of blackcurrant and raspberry that flutter across your palate like a flock of finches. It's as smooth as a swan's glide on a still lake, and its velvety texture will have you feeling as cozy as a bird in its nest.
But beware - this wine is not for the bird-brained! It packs a punch that will have you soaring to new heights of intoxication if you're not careful. So if you're looking for a wine that's sure to ruffle some feathers and leave you chirping with joy, give Domaine De La Chevalerie Noms D'Oiseaux (Cabernet Franc) a try!",Wine,3613042664627,visible,Prepared food and beverage,NA,NA,N,Y,29.00,N,N,20,12,Y,5,N,N
#domaine-de-piaugier-cotes-du-rhone-sablet-grenache-syrah--regular,QEZEDWISM7ZW42UT26JFE4RH,Domaine De Piaugier Cotes du Rhone - Sablet (Grenache/Syrah),Regular,NA,N985570,Bin 73,Wine,NA,visible,Prepared food and beverage,N,N,N,Y,18.00,N,N,13,21,Y,5,N,N
#domaine-du-bel-air-bourgueil-jour-de-soif--regular,3CAWC3NXDBNY5JXQLIUTROGT,Domaine Du Bel Air Bourgueil 'Jour De Soif',Regular,NA,NA,Bin 45,Wine,3760118442211,unavailable,Prepared food and beverage,N,N,N,N,21.00,N,N,14,15,NA,NA,N,N
#domaine-giachino-black-giac-regular,R7AWMWXPVKEXAIMWDDVEXRMW,Domaine Giachino Black Giac,Regular,NA,NA,Bin 189,Wine,NA,visible,Prepared food and beverage,N,N,Y,Y,37.00,N,N,26,9,N,5,N,N
#domaine-jean-aubron-sauvignon-blanc--regular,FCTI3INJNHSQ64MDBD3XXDSD,Domaine Jean Aubron (Sauvignon Blanc),Regular,NA,NA,Bin 116,Wine,3432329940113,visible,Prepared food and beverage,N,N,N,Y,18.00,N,N,11,27,Y,24,N,N
#domaine-jean-charles-girard-madoux-mondeuse--regular,UW3XNHJGWSGG3GTJNYL2JVBV,Domaine Jean-Charles Girard-Madoux (Mondeuse),Regular,NA,Vin Or Savoie Mondeuse $15,NA,Wine,NA,unavailable,Prepared food and beverage,NA,NA,Y,Y,15.00,Y,N,10.67,0,N,12,N,N
#domaine-l-agape-cremant-d-alsace-emotion-pinot-noir-chardonnay--regular,SE7OPVWAPPRL7DFAPMI6UVC4,Domaine L'Agape' Cremant D'Alsace 'Emotion' (Pinot Noir/Chardonnay),Regular,NA,NA,Bin 22,Wine,811502020546,hidden,Prepared food and beverage,N,N,N,Y,20.00,N,N,13.5,0,Y,24,N,N
#domaine-la-cabotte-c-tes-du-rh-ne-regular,BNCIIXIZT4EXPQFMIJAHZALP,Domaine La Cabotte Côtes Du Rhône,Regular,NA,NA,"Bin 16
Grenache/Syrah/Mourvedre/Cinsault/Carignan",Wine,784672954822,hidden,Prepared food and beverage,N,N,N,Y,16.00,N,N,12,6,Y,24,N,N
